Tick 1452(1434), Delay 34 ms, IGT 01:11.637, RTA 01:40.824-01:40.858
Tick 1480(1462), Delay 34 ms, IGT 01:13.037, RTA 01:42.226-01:42.260
Tick 1510(1492), Delay 33 ms, IGT 01:14.537, RTA 01:43.725-01:43.758
Tick 1559(1541), Delay 34 ms, IGT 01:16.987, RTA 01:46.175-01:46.209
Tick 1572(1554), Delay 56 ms, IGT 01:17.637, RTA 01:46.815-01:46.871
Tick 1573(1555), Delay 38 ms, IGT 01:17.687, RTA 01:46.871-01:46.909
Tick 1623(1605), Delay 33 ms, IGT 01:20.187, RTA 01:49.376-01:49.409
Tick 1663(1645), Delay 34 ms, IGT 01:22.187, RTA 01:51.375-01:51.409
Tick 1683(1665), Delay 60 ms, IGT 01:23.187, RTA 01:52.366-01:52.426
Tick 1684(1666), Delay 33 ms, IGT 01:23.237, RTA 01:52.426-01:52.459
Tick 1710(1692), Delay 39 ms, IGT 01:24.537, RTA 01:53.723-01:53.762
Tick 1730(1712), Delay 36 ms, IGT 01:25.537, RTA 01:54.728-01:54.764
Tick 1731(1713), Delay 55 ms, IGT 01:25.587, RTA 01:54.764-01:54.819
Tick 1744(1726), Delay 38 ms, IGT 01:26.237, RTA 01:55.422-01:55.460
Tick 1748(1730), Delay 56 ms, IGT 01:26.437, RTA 01:55.614-01:55.670
Tick 1760(1742), Delay 33 ms, IGT 01:27.037, RTA 01:56.226-01:56.259
Tick 1794(1776), Delay 34 ms, IGT 01:28.737, RTA 01:57.925-01:57.959
Tick 1830(1812), Delay 37 ms, IGT 01:30.537, RTA 01:59.723-01:59.760
Tick 1868(1850), Delay 35 ms, IGT 01:32.437, RTA 02:01.625-02:01.660
Tick 1878(1860), Delay 57 ms, IGT 01:32.937, RTA 02:02.112-02:02.169
Tick 1891(1873), Delay 57 ms, IGT 01:33.587, RTA 02:02.774-02:02.831
Tick 1892(1874), Delay 45 ms, IGT 01:33.637, RTA 02:02.831-02:02.876
Tick 1893(1875), Delay 36 ms, IGT 01:33.687, RTA 02:02.876-02:02.912
Tick 1916(1898), Delay 36 ms, IGT 01:34.837, RTA 02:04.024-02:04.060
Tick 1918(1900), Delay 56 ms, IGT 01:34.937, RTA 02:04.114-02:04.170
Tick 1934(1916), Delay 34 ms, IGT 01:35.737, RTA 02:04.926-02:04.960
Tick 1967(1949), Delay 61 ms, IGT 01:37.387, RTA 02:06.577-02:06.638
Tick 1968(1950), Delay 35 ms, IGT 01:37.437, RTA 02:06.638-02:06.673
Tick 1977(1959), Delay 33 ms, IGT 01:37.887, RTA 02:07.076-02:07.109
Tick 2010(1992), Delay 37 ms, IGT 01:39.537, RTA 02:08.724-02:08.761
Tick 2045(2027), Delay 35 ms, IGT 01:41.287, RTA 02:10.474-02:10.509
Tick 2058(2040), Delay 57 ms, IGT 01:41.937, RTA 02:11.115-02:11.172
Tick 2062(2044), Delay 34 ms, IGT 01:42.137, RTA 02:11.325-02:11.359
Tick 2105(2087), Delay 34 ms, IGT 01:44.287, RTA 02:13.476-02:13.510
Tick 2135(2117), Delay 35 ms, IGT 01:45.787, RTA 02:14.975-02:15.010
Tick 2168(2150), Delay 33 ms, IGT 01:47.437, RTA 02:16.625-02:16.658
Tick 2203(2185), Delay 35 ms, IGT 01:49.187, RTA 02:18.374-02:18.409
Tick 2236(2218), Delay 33 ms, IGT 01:50.837, RTA 02:20.028-02:20.061
Tick 2274(2256), Delay 35 ms, IGT 01:52.737, RTA 02:21.924-02:21.959
Tick 2309(2291), Delay 34 ms, IGT 01:54.487, RTA 02:23.675-02:23.709
Tick 2344(2326), Delay 33 ms, IGT 01:56.237, RTA 02:25.426-02:25.459
Tick 2383(2365), Delay 34 ms, IGT 01:58.187, RTA 02:27.375-02:27.409
Tick 2420(2402), Delay 34 ms, IGT 02:00.037, RTA 02:29.225-02:29.259
Tick 2432(2414), Delay 55 ms, IGT 02:00.637, RTA 02:29.816-02:29.871
Tick 2441(2423), Delay 35 ms, IGT 02:01.087, RTA 02:30.274-02:30.309
Tick 2477(2459), Delay 34 ms, IGT 02:02.887, RTA 02:32.075-02:32.109
Tick 2492(2474), Delay 8245 ms, IGT 02:03.637, RTA 02:32.816-02:41.061
Tick 2494(2476), Delay 38 ms, IGT 02:03.737, RTA 02:41.111-02:41.149
Tick 2497(2479), Delay 55 ms, IGT 02:03.887, RTA 02:41.251-02:41.306
Tick 2498(2480), Delay 43 ms, IGT 02:03.937, RTA 02:41.306-02:41.349
Tick 2499(2481), Delay 63 ms, IGT 02:03.987, RTA 02:41.349-02:41.412
Tick 2502(2484), Delay 109 ms, IGT 02:04.137, RTA 02:41.515-02:41.624
Tick 2503(2485), Delay 0 ms, IGT 02:04.187, RTA 02:41.624-02:41.624
Tick 2504(2486), Delay 34 ms, IGT 02:04.237, RTA 02:41.624-02:41.658
Tick 2507(2489), Delay 55 ms, IGT 02:04.387, RTA 02:41.760-02:41.815
Tick 2508(2490), Delay 35 ms, IGT 02:04.437, RTA 02:41.815-02:41.850
Tick 2516(2498), Delay 60 ms, IGT 02:04.837, RTA 02:42.203-02:42.263
Tick 2525(2507), Delay 34 ms, IGT 02:05.287, RTA 02:42.665-02:42.699
Tick 2526(2508), Delay 55 ms, IGT 02:05.337, RTA 02:42.699-02:42.754
Tick 2529(2511), Delay 59 ms, IGT 02:05.487, RTA 02:42.856-02:42.915
Tick 2531(2513), Delay 34 ms, IGT 02:05.587, RTA 02:42.965-02:42.999
Tick 2557(2538), Delay 3345 ms, IGT 02:06.837, RTA 02:44.261-02:47.606
Tick 2558(2538), Delay 1252504 ms, IGT 02:06.837, RTA 02:47.606-23:40.110
Tick 2559(2538), Delay 1409 ms, IGT 02:06.837, RTA 23:40.110-23:41.519, due world load
Tick 2560(2538), Delay 12 ms, IGT 02:06.837, RTA 23:41.519-23:41.531, due world load
Tick 2561(2538), Delay 4 ms, IGT 02:06.837, RTA 23:41.531-23:41.535, due world load
Tick 2562(2538), Delay 15 ms, IGT 02:06.837, RTA 23:41.535-23:41.550, due world load
Tick 2563(2538), Delay 3 ms, IGT 02:06.837, RTA 23:41.550-23:41.553, due world load
Tick 2564(2538), Delay 3 ms, IGT 02:06.837, RTA 23:41.553-23:41.556, due world load
Tick 2565(2538), Delay 2 ms, IGT 02:06.837, RTA 23:41.556-23:41.558, due world load
Tick 2566(2538), Delay 3 ms, IGT 02:06.837, RTA 23:41.558-23:41.561, due world load
Tick 2567(2538), Delay 3 ms, IGT 02:06.837, RTA 23:41.561-23:41.564, due world load
Tick 2568(2538), Delay 3 ms, IGT 02:06.837, RTA 23:41.564-23:41.567, due world load
Tick 2570(2538), Delay 2 ms, IGT 02:06.837, RTA 23:41.617-23:41.619, due world load
Tick 2571(2538), Delay 33 ms, IGT 02:06.837, RTA 23:41.621-23:41.654, due world load
Tick 2572(2538), Delay 61 ms, IGT 02:06.837, RTA 23:41.652-23:41.713, due world load
Tick 2573(2539), Delay 179 ms, IGT 02:06.845, RTA 23:41.713-23:41.892
Tick 2574(2540), Delay 4 ms, IGT 02:06.895, RTA 23:41.892-23:41.896
Tick 2575(2541), Delay 7 ms, IGT 02:06.945, RTA 23:41.896-23:41.903
Tick 2576(2542), Delay 5 ms, IGT 02:06.995, RTA 23:41.903-23:41.908
Tick 2577(2543), Delay 29 ms, IGT 02:07.045, RTA 23:41.908-23:41.937
Tick 2579(2545), Delay 118 ms, IGT 02:07.145, RTA 23:41.987-23:42.105
